# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     8.767284667    8.767322770    9.063732849
    7.575150301   -0.111351112   -0.111320342    2.038176395
    7.595190381   -0.121986164   -0.121978771    2.108548835
    7.615230461   -0.114062230   -0.114075652    2.060076380
    7.635270541   -0.099612582   -0.099644508    1.854352505
    7.655310621   -0.106961962   -0.107011341    1.527153892
    7.675350701   -0.156216068   -0.156277486    1.218873121
    7.695390782   -0.244482965   -0.244547365    1.039647165
    7.715430862   -0.351995571   -0.352055570    0.965180657
    7.735470942   -0.447625502   -0.447677640    0.914198659
    7.755511022   -0.507714073   -0.507756653    0.855613909
    7.775551102   -0.527405053   -0.527433744    0.828162356
    7.795591182   -0.512749416   -0.512758813    0.879356262
    7.815631263   -0.476589668   -0.476578616    1.013303012
    7.835671343   -0.432403051   -0.432377591    1.192191192
    7.855711423   -0.382128553   -0.382098967    1.359950284
    7.875751503   -0.318409320   -0.318382835    1.468656025
    7.895791583   -0.241872446   -0.241849277    1.508911042
    7.915831663   -0.165982989   -0.165958828    1.516862914
    7.935871743   -0.108691420   -0.108660524    1.521640969
    7.955911824   -0.083456246   -0.083416004    1.510405132
    7.975951904   -0.088019846   -0.087979065    1.474794774
    7.995991984   -0.099536234   -0.099514086    1.452760915
    8.016032064   -0.093819297   -0.093826904    1.485522280
    8.036072144   -0.065568958   -0.065600800    1.553260531
    8.056112224   -0.025138071   -0.025182969    1.576435404
    8.076152305    0.014892220    0.014841991    1.482468957
    8.096192385    0.049802282    0.049752062    1.276652085
    8.116232465    0.084678489    0.084634051    1.023648713
    8.136272545    0.124879796    0.124845326    0.758416440
    8.156312625    0.167316979    0.167294409    0.460834434
    8.176352705    0.203603821    0.203594799    0.116944192
    8.196392786    0.223914231    0.223919973   -0.228374566
    8.216432866    0.222817422    0.222834885   -0.499407059
    8.236472946    0.208810544    0.208829821   -0.646313697
    8.256513026    0.200014800    0.200025411   -0.667245579
    8.276553106    0.208140411    0.208140311   -0.604793093
    8.296593186    0.233141171    0.233136440   -0.521281831
    8.316633267    0.268963259    0.268961211   -0.452878967
    8.336673347    0.310188877    0.310191736   -0.386623190
    8.356713427    0.356111432    0.356115594   -0.300429819
    8.376753507    0.407879885    0.407882572   -0.200940071
    8.396793587    0.461614458    0.461617707   -0.109828519
    8.416833667    0.509190410    0.509198083   -0.049398485
    8.436873747    0.546261072    0.546273976   -0.031554411
    8.456913828    0.575457099    0.575470543   -0.036674936
    8.476953908    0.599986413    0.599992059   -0.019119697
    8.496993988    0.619105737    0.619096612    0.048326475
    8.517034068    0.630608704    0.630586581    0.146464384
    8.537074148    0.636088953    0.636065731    0.231624331
    8.557114228    0.637958133    0.637944657    0.267538760
    8.577154309    0.633148039    0.633145188    0.245660967
    8.597194389    0.621439032    0.621439585    0.190332187
    8.617234469    0.611707828    0.611704079    0.139868537
    8.637274549    0.614634032    0.614625069    0.121463899
    8.657314629    0.634910229    0.634900012    0.141159552
    8.677354709    0.672071021    0.672062406    0.188614734
    8.697394790    0.722964304    0.722957074    0.233045749
    8.717434870    0.779702146    0.779694428    0.228231749
    8.737474950    0.832175210    0.832164917    0.152237193
    8.757515030    0.873829062    0.873813726    0.034999304
    8.777555110    0.902243985    0.902221469   -0.070220085
    8.797595190    0.918781781    0.918754497   -0.129640959
    8.817635271    0.932217281    0.932194084   -0.131482349
    8.837675351    0.956389081    0.956378617   -0.077863165
    8.857715431    0.995925121    0.995927625    0.017884371
    8.877755511    1.038235837    1.038244835    0.138876546
    8.897795591    1.063042844    1.063051086    0.266384725
    8.917835671    1.058467302    1.058471414    0.381921560
    8.937875752    1.027856426    1.027860603    0.476552353
    8.957915832    0.983568061    0.983579836    0.558165574
    8.977955912    0.944587125    0.944607685    0.639523715
