# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    6.352705411    2.762325836    2.762349012    3.122266250
    6.372745491    2.720124753    2.720133762    2.831155767
    6.392785571    2.665808416    2.665797488    2.570608322
    6.412825651    2.586107155    2.586077377    2.410836522
    6.432865731    2.474048857    2.474007316    2.357126596
    6.452905812    2.347728125    2.347677594    2.358981433
    6.472945892    2.229601842    2.229544361    2.341249570
    6.492985972    2.108453301    2.108403467    2.263057653
    6.513026052    1.964367155    1.964339976    2.141574221
    6.533066132    1.814895788    1.814885012    2.014818957
    6.553106212    1.701790679    1.701781877    1.897586621
    6.573146293    1.644443233    1.644432309    1.784660518
    6.593186373    1.627005320    1.626996983    1.672330561
    6.613226453    1.622587233    1.622581193    1.557244770
    6.633266533    1.624700555    1.624688711    1.447527602
    6.653306613    1.643965040    1.643947122    1.366601996
    6.673346693    1.682424054    1.682409927    1.333774407
    6.693386774    1.727620320    1.727612296    1.356483331
    6.713426854    1.769284310    1.769272272    1.432834398
    6.733466934    1.795246330    1.795218559    1.549528150
    6.753507014    1.783922970    1.783870892    1.679802748
    6.773547094    1.735274305    1.735199043    1.798041736
    6.793587174    1.676124404    1.676040464    1.906462162
    6.813627255    1.626557023    1.626478964    2.030893433
    6.833667335    1.600729812    1.600657608    2.180783833
    6.853707415    1.622976863    1.622901564    2.335349733
    6.873747495    1.708401411    1.708321214    2.458331924
    6.893787575    1.836008255    1.835934564    2.515432378
    6.913827655    1.948201781    1.948145081    2.502493787
    6.933867735    1.993421967    1.993374229    2.438988020
    6.953907816    1.969302884    1.969254409    2.348020801
    6.973947896    1.902642073    1.902596509    2.257480231
    6.993987976    1.806239367    1.806203904    2.208442810
    7.014028056    1.685318355    1.685294838    2.233280087
    7.034068136    1.567178340    1.567160081    2.313003433
    7.054108216    1.482389521    1.482367637    2.371874504
    7.074148297    1.438038300    1.438007708    2.342586463
    7.094188377    1.421790110    1.421751910    2.236861748
    7.114228457    1.414003837    1.413963065    2.112711246
    7.134268537    1.408453030    1.408412089    2.008027740
    7.154308617    1.417907275    1.417862336    1.938555133
    7.174348697    1.444001209    1.443944374    1.917623374
    7.194388778    1.467713440    1.467640469    1.950081540
    7.214428858    1.478754206    1.478673488    2.016656988
    7.234468938    1.482386998    1.482323015    2.081123611
    7.254509018    1.476185599    1.476171324    2.123677788
    7.274549098    1.453046054    1.453088835    2.154743279
    7.294589178    1.422103214    1.422173877    2.194645079
    7.314629259    1.398953568    1.399031992    2.245093661
    7.334669339    1.386482983    1.386577825    2.269907444
    7.354709419    1.382732988    1.382849372    2.228308693
    7.374749499    1.387980884    1.388099960    2.123697377
    7.394789579    1.389944388    1.390042035    1.996066579
    7.414829659    1.365083380    1.365147894    1.886253190
    7.434869739    1.312576561    1.312610863    1.805564214
    7.454909820    1.265758055    1.265771888    1.740197387
    7.474949900    1.258295854    1.258298689    1.681732300
    7.494989980    1.296690061    1.296691289    1.646623503
    7.515030060    1.357037183    1.357049506    1.660574868
    7.535070140    1.403258388    1.403294704    1.738171203
    7.555110220    1.419644740    1.419708707    1.885480694
    7.575150301    1.414712663    1.414795950    2.105240990
    7.595190381    1.400832499    1.400922480    2.391296580
    7.615230461    1.393502095    1.393590032    2.717134585
    7.635270541    1.411696953    1.411778493    3.010227383
    7.655310621    1.457387740    1.457457153    3.155331181
    7.675350701    1.507202046    1.507252326    3.106464079
    7.695390782    1.531690028    1.531718919    2.959489913
    7.715430862    1.509390905    1.509401133    2.830587580
    7.735470942    1.436113979    1.436109756    2.741079830
    7.755511022    1.330063808    1.330046967    2.641324755
    7.775551102    1.214411199    1.214383107    2.497890256
    7.795591182    1.106722784    1.106689028    2.338451916
    7.815631263    1.017182389    1.017152865    2.220493727
    7.835671343    0.943900022    0.943883758    2.187106800
    7.855711423    0.878287596    0.878286874    2.246508147
    7.875751503    0.821483020    0.821492618    2.367870047
    7.895791583    0.785587752    0.785601021    2.495968760
    7.915831663    0.778998212    0.779012041    2.598355607
    7.935871743    0.798183964    0.798200528    2.691334061
    7.955911824    0.826627397    0.826655796    2.789785587
    7.975951904    0.839294721    0.839346544    2.869640546
    7.995991984    0.821030444    0.821104932    2.913311845
    8.016032064    0.781314698    0.781394617    2.961356629
    8.036072144    0.741118023    0.741186528    3.082648029
    8.056112224    0.713577749    0.713628776    3.302253239
    8.076152305    0.698480521    0.698514233    3.564897821
